date,team1,team1_score,team2,team2_score,Home_Team_ID,Away_Team_ID,HomeWin,month,FGA_avg1,FG_pct_avg1,FTA_avg1,FT_pct_avg1,TOV_avg1,TRB_avg1,ast_avg1,blk_avg1,fg3_pct_avg1,fg3a_avg1,score_avg1,stl_avg1,FGA_avg2,FG_pct_avg2,FTA_avg2,FT_pct_avg2,TOV_avg2,TRB_avg2,ast_avg2,blk_avg2,fg3_pct_avg2,fg3a_avg2,score_avg2,stl_avg2
2023-11-06,Sacramento,97,Houston,122,29,4,1,0,86.0,0.395,21.0,0.7600000000000001,11.5,45.5,22.0,5.0,0.291,38.0,95.0,6.5,85.5,0.492,21.5,0.7629999999999999,14.0,45.5,31.5,2.5,0.4644999999999999,36.5,117.5,7.0
2023-11-06,San Antonio,111,Indiana,152,1,15,1,0,97.0,0.51,13.0,0.8460000000000001,12.5,43.5,33.5,6.0,0.39949999999999997,34.5,124.0,7.0,93.33333333333333,0.48733333333333334,17.333333333333332,0.6666666666666666,13.666666666666666,35.666666666666664,28.333333333333332,5.333333333333333,0.3693333333333333,37.666666666666664,116.33333333333333,6.666666666666667
2023-11-06,LA Lakers,107,Miami,108,25,23,1,0,87.0,0.4755,28.5,0.8274999999999999,15.5,45.5,22.5,9.5,0.3055,31.0,115.5,8.0,85.5,0.5145000000000001,16.0,0.8174999999999999,17.5,41.5,28.5,3.0,0.4115,32.5,113.0,9.5
2023-11-06,Boston,109,Minnesota,114,28,20,1,0,92.5,0.5229999999999999,27.5,0.9079999999999999,11.0,53.5,24.5,4.0,0.45199999999999996,40.0,139.5,4.5,82.0,0.507,29.0,0.8685,11.5,45.0,22.5,8.0,0.378,22.5,116.5,9.5
2023-11-06,LA Clippers,97,New York,111,18,6,1,0,99.0,0.475,27.0,0.6299999999999999,13.0,46.0,22.0,1.0,0.41200000000000003,34.0,125.0,12.0,94.0,0.372,27.5,0.7135,11.5,53.0,18.0,2.0,0.21150000000000002,34.5,97.0,8.0
2023-11-06,Atlanta,117,Oklahoma City,126,27,22,1,0,92.5,0.492,28.0,0.849,15.5,54.5,27.0,4.5,0.31100000000000005,36.5,126.5,6.0,85.5,0.5169999999999999,27.5,0.8600000000000001,16.5,40.5,24.5,3.0,0.3615,31.5,122.5,4.5
2023-11-06,Dallas,117,Orlando,102,16,17,0,0,86.0,0.46900000000000003,25.666666666666668,0.782,12.666666666666666,42.0,27.0,4.666666666666667,0.385,44.0,117.33333333333333,7.333333333333333,93.0,0.457,27.5,0.796,16.0,47.0,28.0,9.0,0.3544999999999999,31.0,117.5,11.5
2023-11-06,Washington,128,Philadelphia,146,26,0,1,0,91.0,0.5365,15.5,0.586,15.5,32.5,32.5,3.5,0.357,34.0,117.5,10.5,91.0,0.4675,21.5,0.8364999999999999,15.5,48.5,22.5,4.5,0.36349999999999993,27.5,113.0,8.5
2023-11-08,LA Clippers,93,Brooklyn,100,7,6,1,0,86.0,0.48399999999999993,21.5,0.7525,17.5,38.5,21.5,2.0,0.378,33.0,111.0,10.0,94.75,0.45599999999999996,15.25,0.706,9.75,43.5,25.75,4.25,0.38175000000000003,44.5,114.25,5.25
2023-11-08,Phoenix,116,Chicago,115,2,24,0,0,85.0,0.466,29.333333333333332,0.8153333333333334,14.0,39.666666666666664,25.666666666666668,8.666666666666666,0.3793333333333333,29.333333333333332,113.66666666666667,8.0,89.25,0.48100000000000004,16.75,0.79025,10.5,39.5,23.5,3.25,0.381,30.25,110.75,8.25
2023-11-08,Washington,132,Charlotte,116,5,0,0,0,92.66666666666667,0.5276666666666667,17.0,0.6573333333333334,16.666666666666668,34.333333333333336,32.0,5.666666666666667,0.3753333333333333,34.0,121.0,9.0,92.33333333333333,0.5096666666666666,23.0,0.7636666666666666,12.333333333333334,42.666666666666664,24.666666666666668,6.666666666666667,0.35800000000000004,25.666666666666668,120.66666666666667,6.333333333333333
