date,team1,team1_score,team2,team2_score,team1_FGA,team1_FG_pct,team1_FTA,team1_FT_pct,team1_TRB,team1_fg3a,team1_fg3_pct,team1_TOV,team1_stl,team1_blk,team1_ast,team2_FGA,team2_FG_pct,team2_FTA,team2_FT_pct,team2_TRB,team2_fg3a,team2_fg3_pct,team2_TOV,team2_stl,team2_blk,team2_ast,Home_Team_ID,Away_Team_ID,HomeWin,month
2023-11-08,Miami,108,Memphis,102,77,0.455,32,0.844,44,28,0.393,19,9,8,22,90,0.389,28,0.75,38,37,0.297,13,10,4,20,12,25,0,0
2023-11-08,Detroit,118,Milwaukee,120,98,0.49,16,0.938,53,29,0.241,17,2,5,28,90,0.456,32,0.844,36,37,0.297,10,8,7,19,11,13,1,0
2023-11-08,New Orleans,101,Minnesota,122,93,0.387,22,0.955,40,28,0.286,17,6,1,23,82,0.549,24,0.708,48,37,0.405,16,9,7,30,28,10,1,0
2023-11-08,San Antonio,105,New York,126,90,0.489,13,0.615,46,34,0.265,13,2,7,31,100,0.46,22,0.682,47,42,0.452,3,7,0,28,18,15,1,0
2023-11-08,Cleveland,120,Oklahoma City,128,83,0.506,37,0.73,41,29,0.31,18,9,5,26,86,0.512,30,0.933,41,28,0.429,14,10,8,23,27,9,1,0
2023-11-08,Boston,103,Philadelphia,106,91,0.396,19,0.842,43,47,0.319,12,8,6,28,95,0.442,15,0.867,56,34,0.265,12,7,7,20,26,20,1,0
2023-11-08,Portland,118,Sacramento,121,87,0.506,29,0.759,36,22,0.364,18,10,5,26,89,0.461,38,0.737,50,37,0.297,21,11,6,32,4,3,1,0
2023-11-09,Milwaukee,124,Indiana,126,87,0.529,26,0.885,41,27,0.333,14,6,5,23,92,0.478,20,0.9,40,48,0.417,11,6,6,27,1,11,1,0
2023-11-09,Atlanta,120,Orlando,119,85,0.482,30,0.767,36,39,0.385,17,13,7,22,90,0.467,35,0.714,47,27,0.37,19,12,6,19,16,22,0,0
2023-11-10,Brooklyn,107,Boston,121,85,0.447,18,0.889,46,37,0.405,10,0,3,26,94,0.436,28,0.714,52,52,0.365,7,5,3,29,20,7,1,0
2023-11-10,LA Clippers,126,Dallas,144,88,0.489,36,0.889,47,27,0.296,14,7,2,21,98,0.52,26,0.885,41,42,0.452,8,7,1,30,17,6,1,0
2023-11-10,Philadelphia,114,Detroit,106,83,0.422,41,0.854,46,28,0.321,8,13,5,23,86,0.465,22,0.818,48,28,0.286,16,3,5,28,13,26,0,0
2023-11-10,New Orleans,101,Houston,104,75,0.453,34,0.735,49,25,0.32,18,6,6,12,88,0.409,28,0.786,42,35,0.286,9,9,5,20,29,10,1,0
2023-11-10,Utah,127,Memphis,121,76,0.539,29,0.931,38,37,0.486,19,10,12,28,101,0.455,13,0.769,37,48,0.396,11,5,5,23,12,21,0,0
2023-11-10,LA Lakers,122,Phoenix,119,84,0.5,34,0.765,43,27,0.444,11,9,7,27,94,0.447,27,0.741,52,37,0.405,13,9,1,22,24,23,0,0
2023-11-10,Oklahoma City,98,Sacramento,105,87,0.448,16,0.813,38,30,0.233,16,9,5,22,91,0.418,21,0.762,52,47,0.277,17,10,9,28,4,27,1,0
2023-11-10,Minnesota,117,San Antonio,110,87,0.494,27,0.778,51,27,0.37,18,6,4,23,92,0.467,19,0.632,38,34,0.353,14,9,8,29,15,28,0,0
2023-11-10,Charlotte,124,Washington,117,110,0.455,28,0.643,67,28,0.214,9,10,4,31,88,0.489,20,0.85,36,38,0.368,15,4,6,28,0,5,0,0
2023-11-11,Miami,117,Atlanta,109,84,0.488,25,0.92,39,38,0.316,15,10,4,23,87,0.437,18,0.833,48,46,0.391,21,6,6,23,22,25,0,0
2023-11-11,Toronto,94,Boston,117,91,0.385,16,0.875,37,37,0.27,8,8,1,25,86,0.547,13,0.615,46,44,0.341,12,1,4,30,20,14,1,0
2023-11-11,Cleveland,118,Golden State,110,86,0.43,43,0.767,45,30,0.367,10,13,3,23,90,0.411,30,0.767,55,38,0.342,20,5,3,26,19,9,0,0
2023-11-11,Milwaukee,97,Orlando,112,77,0.494,25,0.48,36,29,0.31,19,9,6,25,84,0.429,35,0.857,43,26,0.385,13,9,2,24,16,11,1,0
2023-11-12,Washington,94,Brooklyn,102,88,0.375,25,0.72,42,41,0.244,12,14,3,20,98,0.378,20,0.8,66,49,0.245,18,6,6,22,7,0,1,0
